id,version,processing_date,url,name,registration_number,domain,website,website_status,number_of_about_pages,number_of_contact_pages,number_of_management_pages,number_of_product_pages,year_founded,incorporation_date,number_of_registered_officers,number_of_key_persons,number_of_partners,number_of_clients,number_of_emails,number_of_ip_addresses,total_changes,address_changes,alias_changes,assoc_investor_changes,ch_changes,client_changes,description_changes,email_changes,fax_changes,founded_year_changes,investor_changes,ip_address_changes,linked_domain_changes,name_changes,page_content_changes,page_structure_changes,partner_changes,person_changes,phone_changes,primary_contact_changes,registration_number_changes,robots_changes,ticker_changes,vat_changes,web_status_changes
13988373,2,2013-10-19,http://endb-consolidated.aihit.com/00D5721500000002/overview.htm,"Netra Chetty","",netrachetty.com.au,"www.netrachetty.com.au","OK",0,0,0,0,2009,,-1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
8102632,10,2013-10-19,http://endb-consolidated.aihit.com/007BA2E80000000A/overview.htm,"Pansenti","",pansenti.com,"www.pansenti.com","OK",1,1,0,0,2012,,-1,0,0,0,1,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,1,0,0,0
7682403,10,2013-10-19,http://endb-consolidated.aihit.com/007539630000000A/overview.htm,"Mel Shanley","",melshanley.com,"www.melshanley.com","OK",0,1,0,0,-1,,-1,0,0,0,1,1,19,2,2,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,2,1,0,2,0,0,0
1735175,19,2013-10-19,http://endb-consolidated.aihit.com/001A7A0700000013/overview.htm,"MB SIMPLY MORTGAGES LIMITED","06378789",,"","",0,0,0,0,-1,2007-09-21,1,1,0,0,0,0,36,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
5946289,10,2013-10-19,http://endb-consolidated.aihit.com/005ABBB10000000A/overview.htm,"ClimateSaver","",climatesaver.com,"www.climatesaver.com","OK",0,0,0,0,-1,,-1,0,0,0,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0
9672104,9,2013-10-19,http://endb-consolidated.aihit.com/009395A800000009/overview.htm,"Aiken Outdoor","",aikenoutdoor.com,"www.aikenoutdoor.com","OK",1,1,0,0,-1,,-1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
14974181,1,2013-10-19,http://endb-consolidated.aihit.com/00E47CE500000001/overview.htm,"Kunshan Hotel","",kunshanhotel.com,"www.kunshanhotel.com","OK",1,0,0,0,-1,,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6021535,10,2013-10-19,http://endb-consolidated.aihit.com/005BE19F0000000A/overview.htm,"ConvertPlus","",convertplus.com,"www.convertplus.com","OK",0,11,0,0,-1,,-1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
1346627,19,2013-10-19,http://endb-consolidated.aihit.com/00148C4300000013/overview.htm,"M.J.M. STRATEGIES LIMITED","05269339",,"","",0,0,0,0,-1,2004-10-25,2,2,0,0,0,0,33,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9766916,8,2013-10-19,http://endb-consolidated.aihit.com/0095080400000008/overview.htm,"B4MD","",b4md.com.au,"b4md.com.au","OK",2,0,3,0,2006,,-1,20,1,1,3,1,85,0,0,0,0,0,0,0,0,0,0,0,12,0,45,13,1,5,0,0,0,7,0,0,2
5973018,10,2013-10-19,http://endb-consolidated.aihit.com/005B241A0000000A/overview.htm,"cnvalighting com","",cnvalighting.com,"www.cnvalighting.com","OK",0,0,0,0,-1,,-1,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,3,0,0,0
4285834,16,2013-10-19,http://endb-consolidated.aihit.com/0041658A00000010/overview.htm,"Pentagon Glass Tech","",tintyourhome.co.uk,"www.tintyourhome.co.uk","OK",1,2,0,0,-1,,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10665008,9,2013-10-19,http://endb-consolidated.aihit.com/00A2BC3000000009/overview.htm,"NY Computer Help","",nycomputerhelp.net,"nycomputerhelp.net","OK",0,1,0,0,-1,,-1,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
3840244,15,2013-10-19,http://endb-consolidated.aihit.com/003A98F40000000F/overview.htm,"Fairview Music","",fairviewduplication.co.uk,"www.fairviewduplication.co.uk","OK",0,1,0,0,-1,,-1,0,0,42,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10959580,9,2013-10-19,http://endb-consolidated.aihit.com/00A73ADC00000009/overview.htm,"Star Embroidery","",starstitches.com,"www.starstitches.com","OK",1,1,0,1,-1,,-1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
4080632,18,2013-10-19,http://endb-consolidated.aihit.com/003E43F800000012/overview.htm,"Shapla Tandoori","",shaplawhitstable.co.uk,"www.shaplawhitstable.co.uk","OK",0,0,0,0,-1,,-1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
13523873,3,2013-10-19,http://endb-consolidated.aihit.com/00CE5BA100000003/overview.htm,"CITY LINK (UK) LIMITED","08569240",,"","",0,0,0,0,-1,2013-06-14,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11413997,8,2013-10-19,http://endb-consolidated.aihit.com/00AE29ED00000008/overview.htm,"Forest Builders","",forest-builders.com,"www.forest-builders.com","OK",1,1,0,0,1990,,-1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7901424,10,2013-10-19,http://endb-consolidated.aihit.com/007890F00000000A/overview.htm,"Race River","",netforcenews.com,"www.netforcenews.com","Disallowed",1,1,0,0,2008,,-1,0,0,0,1,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2,0,0,2
1270901,19,2013-10-19,http://endb-consolidated.aihit.com/0013647500000013/overview.htm,"KOPIKAT PROOFREADING SERVICES LIMITED","05020912",,"","",0,0,0,0,-1,2004-01-20,3,2,0,0,0,0,32,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5817282,10,2013-10-19,http://endb-consolidated.aihit.com/0058C3C20000000A/overview.htm,"Cashmechanics","",cashmechanics.com,"www.cashmechanics.com","OK",1,1,0,0,-1,,-1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
5142109,10,2013-10-19,http://endb-consolidated.aihit.com/004E765D0000000A/overview.htm,"AccessAuto Sales","",accessautosales.net,"www.accessautosales.net","OK",0,0,0,0,-1,,-1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2841584,19,2013-10-19,http://endb-consolidated.aihit.com/002B5BF000000013/overview.htm,"FINANCE FLEET MANAGEMENT LTD","07988447",,"","",0,0,0,0,-1,2012-03-13,1,1,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1245183,19,2013-10-19,http://endb-consolidated.aihit.com/0012FFFF00000013/overview.htm,"K T PHOTO.CO.UK LIMITED","04941286",,"","",0,0,0,0,-1,2003-10-23,3,2,0,0,0,0,32,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13574389,3,2013-10-19,http://endb-consolidated.aihit.com/00CF20F500000003/overview.htm,"HGV PCV TRAINING LIMITED","08621482",,"","",0,0,0,0,-1,2013-07-23,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11115723,9,2013-10-19,http://endb-consolidated.aihit.com/00A99CCB00000009/overview.htm,"ViaData","",viadata.ca,"www.viadata.ca","OK",0,0,0,0,-1,,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9379056,10,2013-10-19,http://endb-consolidated.aihit.com/008F1CF00000000A/overview.htm,"WINS","",winselectronics.com,"www.winselectronics.com","DomainNotFound",1,1,0,9,-1,,-1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
11925325,7,2013-10-19,http://endb-consolidated.aihit.com/00B5F74D00000007/overview.htm,"JIEGOOD.NET","",jiegood.net,"www.jiegood.net","OK",0,0,0,0,-1,,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10865298,9,2013-10-19,http://endb-consolidated.aihit.com/00A5CA9200000009/overview.htm,"Safe","",safelabsgreenlabs.com,"stores.safelabsgreenlabs.com","OK",1,0,0,0,1978,,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10805911,9,2013-10-19,http://endb-consolidated.aihit.com/00A4E29700000009/overview.htm,"Remedy Plus","",remedy-plus.com,"www.remedy-plus.com","OK",1,1,0,0,-1,,-1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
8233809,10,2013-10-19,http://endb-consolidated.aihit.com/007DA3510000000A/overview.htm,"Plumber's Service","",plumbersserviceinc.com,"www.plumbersserviceinc.com","OK",1,0,0,0,1955,,-1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
13128492,4,2013-10-19,http://endb-consolidated.aihit.com/00C8532C00000004/overview.htm,"Filterwatcher","",filterwatcher.com,"filterwatcher.com","OK",1,1,0,0,-1,,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4459615,16,2013-10-19,http://endb-consolidated.aihit.com/00440C5F00000010/overview.htm,"PHRASE ARTS CIC","08182183",,"","",0,0,0,0,-1,2012-08-16,3,3,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9892412,9,2013-10-19,http://endb-consolidated.aihit.com/0096F23C00000009/overview.htm,"C. Brion Engineering","",cbrionengineers.com,"www.cbrionengineers.com","OK",1,1,0,0,-1,,-1,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0
537758,19,2013-10-19,http://endb-consolidated.aihit.com/0008349E00000013/overview.htm,"EATON MANSIONS (WESTMINSTER) LIMITED","01364776",,"","",0,0,0,0,-1,1978-04-24,5,5,0,0,0,0,120,2,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11683568,8,2013-10-19,http://endb-consolidated.aihit.com/00B246F000000008/overview.htm,"ACE PROJECT MANAGEMENT SERVICES LIMITED","08470049",,"","",0,0,0,0,-1,2013-04-02,2,2,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8371284,10,2013-10-19,http://endb-consolidated.aihit.com/007FBC540000000A/overview.htm,"Raideberg","",raideberg.ee,"www.raideberg.ee","OK",2,2,0,0,-1,,-1,0,0,0,3,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,4,0,0,0
7482897,10,2013-10-19,http://endb-consolidated.aihit.com/00722E110000000A/overview.htm,"light sport aircraft services","",lightsportaircraftservices.co.za,"lightsportaircraftservices.co.za","OK",1,1,0,0,-1,,-1,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
9932583,9,2013-10-19,http://endb-consolidated.aihit.com/00978F2700000009/overview.htm,"cloudsq.com","",cloudsq.com,"www.cloudsq.com","OK",0,0,0,0,-1,,-1,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,1,0,0,2
