company_id,tag
8032318,"programming, design and marketing"
13220816,"building"
5176137,"construction"
6400612,"industrial"
5050483,"Employment"
10867433,"Insurance"
8714105,"Management"
7866680,"manufacturing"
12637374,"biopharmaceutical"
5329709,"digital"
7112027,"BPO and KPO service"
7112027,"Process Outsourcing"
11919026,"web design"
11128865,"purchasing and drop shipping"
10699378,"telemarketing"
4272167,"wholesale"
12265894,"video presentation and storytelling"
8725415,"Travel"
5737242,"marketing"
13094755,"wholesale"
12118366,"affiliate"
8413343,"fabric"
9775870,"community oriented"
11268525,"software and engineering consultancy"
6145121,"law"
9728864,"design"
8000816,"Insurance"
10320143,"estate services"
9546335,"estate service"
3305512,"SOURCING"
6435281,"solutions"
7297651,"landscape architecture and land planning"
11041207,"backyard"
7335467,"Law"
3560142,"outsourcing"
5314062,"consultancy"
7502095,"law"
6729153,"service"
3505935,"telephony, voip and communications"
7102764,"Information Technology service"
7102764,"software development"
7102764,"web design and development"
6449802,"property"
8787033,"hosting"
10522558,"design/build"
7745913,"AV services"
7745913,"audio/visual services"
7745913,"event management"
9431824,"estate development, investment, brokerage and management"
5360942,"service"
9772256,"balloon and flower decorating"
8726258,"ICT consulting and software development"
10292467,"environmental"
5432774,"plumbing"
8051718,"Video production"
10362960,"Services"
13301374,"Film Production"
7654983,"association management"
6151665,"plumbing"
13095844,"towing"
5904465,"making"
9723189,"3M window film"
6325626,"manufacturing and export"
5900491,"hardware and machinery"
11905533,"SEO and internet marketing"
4014542,"Physiotherapy"
8326351,"facilitating"
5191486,"sign"
10395234,"remodeling"
11597943,"insurance"
10604942,"Two-Way radio"
9210631,"web and software"
6626616,"Human Resource Consulting"
6626616,"outsourcing and consulting"
8327235,"locksmith"
13989804,"Engineering"
13989804,"valve"
10161023,"consulting"
8483610,"Childrens Hospital"
4599937,"IT support"
10752385,"electrical contracting"
148858,"waste management and drainage"
7287405,"Estate"
7382397,"power"
5429866,"catering"
8271024,"Hardware"
276953,"art"
12612627,"non-profit"
7569671,"software development and consulting"
6575746,"aviation ground handling"
11872582,"non-profit"
13938374,"English Wedding"
7511975,"LV Switchboards & Control Panels manufacturing"
4239865,"technology"
10783393,"insurance"
9396353,"wholesale"
11465625,"litigation and technical support"
7672310,"product manufacturing"
12790290,"SEO"
10780351,"consulting"
14889039,"Scholarship Trust"
11131503,"solutions"
9260170,"solution"
6282849,"service"
10292378,"service"
6157264,"Insurance"
4111638,"locksmith"
12817395,"IT staffing solutions"
3949089,"office moving"
3949089,"House and office removals"
6938347,"web design"
5443828,"audiovisual"
3614678,"export"
6704865,"OEM"
6704865,"gear manufacturer and gear"
8463900,"manufacturing"
13408135,"service"
6825379,"faucet"
5170228,"moving"
9096061,"Export / Import Marketing and Distribution"
9119402,"research oriented"
9119402,"software outsourcing"
12955106,"underwriting"
11342819,"Management"
5095903,"consulting"
3365033,"web design, logo design and marketing"
7381019,"adventure Tour"
7356541,"sign"
10789387,"rental and sales"
6013208,"Food broker and marketing"
12262270,"construction"
65929,"sales consultancy"
7988341,"management"
7708019,"advisory"
8642920,"Technology"
9436327,"destination management"
8577208,"security"
11865243,"merchant services"
7652067,"services"
9146987,"Chrome Plating and Grinding"
6491329,"education consulting"
12420074,"accounting"
4652785,"non-profit"
98757,"website development, accessible web design and internet advertising"
8913011,"locksmith"
7656099,"box"
7656099,"service"
5593196,"Web development"
9884944,"freight forwarding"
13436142,"fabric buying and quality control"
6456286,"web hosting"
12656549,"law"
8281318,"software publishing"
5093974,"Architectural & Development planning"
5093974,"Project Management and Construction"
275694,"property maintenance"
8349406,"consultancy"
11992827,"solutions"
7348056,"investor relations"
9138445,"stage lighting equipment"
5808936,"Application Service"
10980378,"the retail sales"
5397152,"moving"
8438912,"wine"
13724321,"service"
4834140,"making"
11200241,"research, development and application"
3728651,"garden maintenance"
11729841,"arts music and dance theatre"
7705811,"computer"
11536054,"contracting and consultancy"
7416255,"power equipment"
13917428,"wholesale jewelry supply"
8401608,"selling solutions"
8267585,"Petrovietnam Technical Services"
12490467,"event management"
11154610,"welding supply"
9747889,"locksmith"
9195639,"asset management holding"
9195639,"equity investment management"
7396168,"bags"
10538541,"IT Support and Consultancy"
10538541,"solutions"
3541778,"sewing machine sales and service"
4932720,"animation"
11292364,"security consulting"
9643499,"promotional product"
12677160,"propane"
5888555,"Advisory"
3876775,"guitar"
11006348,"building supply"
6596949,"agricultural chemical and fertilizer"
5762609,"travel"
5264236,"building and civil engineering"
8301603,"machine"
10810762,"publishing"
5271424,"care service"
10227309,"consulting"
8848514,"image management"
11285916,"insurance"
