company_id,type,country,authority,registration_number
1756994,"CompanyRegistrationNumber","United Kingdom","Companies House","06428931"
3455495,"CompanyRegistrationNumber","United Kingdom","Companies House","04791059"
874401,"CompanyRegistrationNumber","United Kingdom","Companies House","03596057"
2678974,"CompanyRegistrationNumber","United Kingdom","Companies House","07815398"
1301018,"CompanyRegistrationNumber","United Kingdom","Companies House","05118970"
13596088,"CompanyRegistrationNumber","United Kingdom","Companies House","08643892"
798435,"CompanyRegistrationNumber","United Kingdom","Companies House","03214825"
3150094,"CompanyRegistrationNumber","United Kingdom","Companies House","SC349245"
1684060,"CompanyRegistrationNumber","United Kingdom","Companies House","06253092"
4336039,"CompanyRegistrationNumber","United Kingdom","Companies House","SC429423"
961553,"CompanyRegistrationNumber","United Kingdom","Companies House","03986251"
2686954,"CompanyRegistrationNumber","United Kingdom","Companies House","07823997"
1894274,"CompanyRegistrationNumber","United Kingdom","Companies House","06719803"
1456431,"CompanyRegistrationNumber","United Kingdom","Companies House","05606177"
3281380,"CompanyRegistrationNumber","United Kingdom","Companies House","NI069299"
2915053,"CompanyRegistrationNumber","United Kingdom","Companies House","08063791"
1756917,"CompanyRegistrationNumber","United Kingdom","Companies House","06428777"
2131316,"CompanyRegistrationNumber","United Kingdom","Companies House","07141926"
1954994,"CompanyRegistrationNumber","United Kingdom","Companies House","06836525"
13605227,"CompanyRegistrationNumber","United Kingdom","Companies House","08653315"
9920384,"CompanyRegistrationNumber","","","12 094 225 073"
9920384,"CompanyRegistrationNumber","","","14 094 225 082"
9920384,"CompanyRegistrationNumber","","","16 094 225 091"
9920384,"CompanyRegistrationNumber","","","34 139 626 994"
9920384,"CompanyRegistrationNumber","","","45 090 513 849"
9920384,"CompanyRegistrationNumber","","","47 091 509 796"
9920384,"CompanyRegistrationNumber","","","64 094 218 443"
9920384,"CompanyRegistrationNumber","","","65 133 058 741"
9920384,"CompanyRegistrationNumber","","","79 135 424 878"
9920384,"CompanyRegistrationNumber","","","84 137 606 172"
9920384,"CompanyRegistrationNumber","","","99 094 225 064"
112383,"CompanyRegistrationNumber","United Kingdom","Companies House","05516819"
3255264,"CompanyRegistrationNumber","United Kingdom","Companies House","06984673"
1768732,"CompanyRegistrationNumber","United Kingdom","Companies House","06454382"
12953829,"CompanyRegistrationNumber","United Kingdom","Companies House","07924978"
1617854,"CompanyRegistrationNumber","United Kingdom","Companies House","06068107"
4765491,"CompanyRegistrationNumber","United Kingdom","Companies House","04504545"
3601330,"CompanyRegistrationNumber","United Kingdom","Companies House","02329069"
4603803,"CompanyRegistrationNumber","United Kingdom","Companies House","06980029"
1070198,"CompanyRegistrationNumber","United Kingdom","Companies House","04398499"
11240286,"CompanyRegistrationNumber","United Kingdom","Companies House","08454153"
